For:  Sad Monkeys Nate Stunkies 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"CHANGING DELAY THE LIGHT OF THE COMPETING NEUROBEHAVIORAL DECISION SYSTEMS THEORY: A REVIEW","Koffarnus, Mikhail N.; Jarmolowicz, David P.; Mueller, E. Terry; Bickel, Warren K.","","","","JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR","JAN 2013","2013","99","1","","","","32","57","","10.1002/jeab.2","","","102","14.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","13","22","27","19","19","0"
"Self-regulation, ego depletion, and inhibition","Baumeister, Roy F.","","","","NEUROPSYCHOLOGIA","DEC 2014","2014","65","","","","","313","319","","10.1016/j.neuropsychologia.2014.08.012","","","80","13.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","25","23","17","0"
"Increased Capacity to Delay Reward in Anorexia Nervosa","Steinglass, Joanna E.; Figner, Bernd; Berkowitz, Staci; Simpson, H. Blair; Weber, Elke U.; Walsh, B. Timothy","","","","JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY","JUL 2012","2012","18","4","","","","773","780","","10.1017/S1355617712000446","","","67","8.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","8","16","15","18","7","0"
"Connectivity Strength of Dissociable Striatal Tracts Predict Individual Differences in Temporal Discounting","van den Bos, Wouter; Rodriguez, Christian A.; Schweitzer, Julie B.; McClure, Samuel M.","","","","JOURNAL OF NEUROSCIENCE","JUL 30 2014","2014","34","31","","","","10298","10310","","10.1523/JNEUROSCI.4105-13.2014","","","55","9.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","21","11","14","1"
"Hunger Does n Remitted from Anorexia Nervosa","Wierenga, Christina E.; Bischoff-Grethe, Amanda; Melrose, A. James; Irvine, Zoe; Torres, Laura; Bailer, Ursula F.; Simmons, Alan; Fudge, Julie L.; McClure, Samuel M.; Ely, Alice; Kaye, Walter H.","","","","BIOLOGICAL PSYCHIATRY","APR 1 2015","2015","77","7","","","","642","652","","10.1016/j.biopsych.2014.09.024","","","52","10.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","16","14","14","0"
"Are extremes of consumption in eating disorders related to an altered balance between reward and inhibition?","Wierenga, Christina E.; Ely, Alice; Bischoff-Grethe, Amanda; Bailer, Ursula F.; Simmons, Alan N.; Kaye, Walter H.","","","","FRONTIERS IN BEHAVIORAL NEUROSCIENCE","DEC 9 2014","2014","8","","","","","","","UNSP 410","10.3389/fnbeh.2014.00410","","","48","8.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","13","18","12","0"
"A dual-systems perspective on addiction: contributions from neuroimaging and cognitive training","McClure, Samuel M.; Bickel, Warren K.","","","Uhl, GR","ADDICTION REVIEWS","2014","2014","1327","","","","","62","78","","10.1111/nyas.12561","","","47","7.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","12","12","16","1"
"Sweet delusion. Glucose drinks fail to counteract ego depletion","Lange, Florian; Eggert, Frank","","","","APPETITE","APR 1 2014","2014","75","","","","","54","63","","10.1016/j.appet.2013.12.020","","","44","7.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","11","12","12","0"
"TOWARDS A GENERAL MODEL OF TEMPORAL DISCOUNTING","van den Bos, Wouter; McClure, Samuel M.","","","","JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR","JAN 2013","2013","99","1","","","","58","73","","10.1002/jeab.6","","","44","6.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","12","8","8","8","0"
"Strength Model of Self-Regulation as Limited Resource: Assessment, Controversies, Update","Baumeister, R. F.; Vohs, K. D.","","","Olson, JM; Zanna, MP","ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY, VOL 54","2016","2016","54","","","","","67","127","","10.1016/bs.aesp.2016.04.001","","","41","10.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","21","17","1"
