Start Date	End Date	Response Type	IP Address	Progress	Duration (in seconds)	Finished	Recorded Date	Response ID	Recipient Last Name	Recipient First Name	Recipient Email	External Data Reference	Location Latitude	Location Longitude	Distribution Channel	User Language	Q_RecaptchaScore	What is your Prolific ID?	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Name as many countries as you can in the next 30 seconds.	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Name as many types of fruit as you can in the next 30 seconds.	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	Name as many dog breeds as you can in the next 30 seconds.	Timing - First Click	Timing - Last Click	Timing - Page Submit	Timing - Click Count	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	What is the title of this painting?	Similar	Different	Batch number
6/8/23 8:33	6/8/23 8:42	IP Address	137.165.127.209	100	565	TRUE	6/8/23 8:42	R_2cuPAwDbUjsDzt1					42.7087	-73.1987	anonymous	EN	1	Christine R.	0	0	10.934	0	0	0	8.489	0	0	0	9.139	0	0	0	7.398	0																		0	0	1.112	0	Change	Ground	Ballroom	Lonesome	Outlaws	Pioneers	Pioneers	Pioneers																	0	0	11.702	0	0	0	8.148	0	0	0	6.93	0	0	0	7.785	0	apple orange pear banana plum blueberry strawberry fig apr	4.234	4.234	30.106	1	Monroe	Symphony	Dance	Sugar	Light	Tales	Derby	Verona																	0	0	11.475	0	0	0	12.125	0	0	0	9.324	0	0	0	6.859	0	"plott hound, german shepherd, rottweiller, st. bernard, gre"	1.934	1.934	30.11	1	Poem	Rumble	World	Luck	Drink	Faith	Happy	World	12	9	Batch 1
6/8/23 10:10	6/8/23 10:17	IP Address	69.119.167.183	100	446	TRUE	6/8/23 10:17	R_1q54h7NRd3vJaUU					40.6665	-73.5455	anonymous	EN	0.899999976	5eb070eb793af1113c01e244	0	0	7.733	0	0	0	7.012	0	0	0	7.304	0	0	0	7.367	0																	"argentina, usa, canada, russia, india, china, jap"	2.402	2.402	30.024	1	Change	Ground	Ballroom	Ballroom	Outlaws	Thankful	Rambler	Thankful	0	0	9.987	0	0	0	7.199	0	0	0	7.709	0	0	0	7.212	0																	"apple, pear, orange, banana, grapes, lime, lemon"	3.206	3.206	30.019	1	Monroe	Symphony	Dance	Sugar	Tales	Light	Derby	Verona	0	0	7.645	0	0	0	7.492	0	0	0	7.434	0	0	0	6.86	0																	"doberman, shepherd, hound, great dane, poodle"	2.206	2.206	30.122	1	Poem	Rumble	Lost	Lost	Drink	Faith	Happy	Luck	10	7	Batch 1
6/8/23 10:43	6/8/23 11:00	IP Address	50.233.1.2	100	989	TRUE	6/8/23 11:00	R_s4NjFTtzjYCCBcl					39.9242	-75.0193	anonymous	EN	1	627920bf48e6cf4191a98f65																	0	0	11.011	0	0	0	8.666	0	0	0	15.783	0	0	0	8.428	0	"USA, China, Mexico, Canada, Cambodia, "	3.449	3.449	30.101	1	Change	Ground	Lonesome	Lonesome	Outlaws	Rambler	Pioneers	Thankful																	0	0	14.681	0	0	0	18.368	0	0	0	10.197	0	0	0	7.263	0	"Apple, banana, pinapple, mango,"	4.874	4.874	30.125	1	Monroe	Symphony	Dance	Sugar	Light	Tales	Derby	Verona	0	0	10.771	0	0	0	10.39	0	0	0	8.983	0	0	0	8.198	0																	"Beagle, "	2.564	26.353	30.116	3	Poem	Rumble	Lost	Luck	Faith	Rumble	World	Drink	12	7	Batch 1
6/8/23 10:56	6/8/23 11:05	IP Address	65.190.20.45	100	517	TRUE	6/8/23 11:05	R_22Eulehsg9kGpxG					35.7704	-78.6293	anonymous	EN	1	60c6b4ac3397cc95663dc43c	0	0	11.084	0	0	0	10.777	0	0	0	12.702	0	0	0	10.315	0																	"America, Canada, Mexico, Venezuela, Germany, France, Italy, Brazil, U"	2.392	2.392	30.116	1	Change	Lonesome	Ballroom	Ground	Outlaws	Thankful	Pioneers	Thankful	0	0	12.828	0	0	0	9.126	0	0	0	10.121	0	0	0	11.157	0																	"Apple, banana, orange, kiwi, grapes, watermelon, plum, pear, blueberry, ras"	2.072	2.072	30.019	1	Monroe	Symphony	Dance	Sugar	Light	Tales	Derby	Verona																	0	0	9.839	0	0	0	10.077	0	0	0	11.411	0	0	0	10.357	0	"German Shepard, Pug, Poodle, Labrador Retriever, Golden Retriever, "	2.699	2.699	30.02	1	Poem	Rumble	Lost	Luck	Drink	Faith	Happy	World	10	11	Batch 1
6/8/23 11:07	6/8/23 11:15	IP Address	169.231.163.192	100	511	TRUE	6/8/23 11:16	R_29sJqHBdYwXe6yD					34.4265	-119.8631	anonymous	EN	0.899999976	5f1275800e769c1da9afd1b3																	0	0	12.447	0	0	0	9.809	0	0	0	12.215	0	0	0	8.559	0	"usa, canada, Mexico, Greenland Iceland Australia Argentina South Korea china Germany Italy New Zealand chip Brazil Poland portugal"	0	0	30.009	0	Change	Ground	Ballroom	Lonesome	Outlaws	Rambler	Pioneers	Thankful																	0	0	14.262	0	0	0	11.989	0	0	0	9.369	0	0	0	10.602	0	"grapes, apples, strawberries, bananas, blackberries, oranges, grapefruit, blueberries, mango, pineapple, "	0	0	30.012	0	Monroe	Symphony	Dance	Sugar	Light	Tales	Derby	Verona	0	0	13.689	0	0	0	11.29	0	0	0	14.38	0	0	0	9.89	0																	"Pomeranians, labrador, German Shepard, golden retriever, poodle, doberman, Great Dane, chihuahua, boxer, pitfa"	0	0	30.014	0	Poem	Rumble	Lost	Luck	Drink	World	Happy	World	12	11	Batch 1
6/8/23 11:05	6/8/23 11:16	IP Address	98.109.204.159	100	620	TRUE	6/8/23 11:16	R_1mPdai6XZRRxGXz					41.0429	-74.1004	anonymous	EN	1	5cbde499f015c800186299f2																	0	0	8.715	0	0	0	11.537	0	0	0	13.446	0	0	0	11.743	0	"france, italy, spain, us, Canada, Mexico, greece, Portugal, uk, Denmark, Belgium, Australia, rus"	3.642	3.642	30.01	1	Change	Change	Ballroom	Lonesome	Outlaws	Pioneers	Pioneers	Thankful																	0	0	9.202	0	0	0	7.629	0	0	0	8.859	0	0	0	7.335	0	"apple, orange, peach, cantaloupe, watermelon, strawberry, raspberry, blackberry, "	0	0	30.107	0	Symphony	Monroe	Dance	Sugar	Light	Tales	Derby	Verona	0	0	13.847	0	0	0	9.411	0	0	0	8.998	0	0	0	8.28	0																	"lab, shepherd, corgi, dachshund, pitbull, retriever, keeshond, beagl"	1.931	1.931	30.107	1	Poem	Luck	Lost	World	Drink	Faith	Happy	World	9	9	Batch 1
6/8/23 10:54	6/8/23 11:17	IP Address	172.59.41.132	100	1362	TRUE	6/8/23 11:17	R_33pZ4eukaLNfH78					31.8378	-106.538	anonymous	EN	1	62a2515c9fe562408377281f																	0	0	7.862	0	0	0	12.931	0	0	0	8.219	0	0	0	11.433	0	united states mexico canada england fran	20.6	20.6	30.011	1	Lonesome	Change	Ballroom	Lonesome	Outlaws	Pioneers	Thankful	Rambler	0	0	8.917	0	0	0	8.305	0	0	0	81.696	0	0	0	9.02	0																		0	0	30.108	0	Dance	Derby	Verona	Monroe	Symphony	Monroe	Sugar	Light																	0	0	117.247	0	3.095	3.095	9.349	1	0	0	11.691	0	0	0	14.216	0	pug lab chihuahua german shepard p	14.077	25.109	30.015	4	Poem	Luck	Happy	Luck	Drink	Rumble	Poem	Faith	2	4	Batch 1
6/8/23 11:02	6/8/23 11:17	IP Address	152.86.33.189	100	891	TRUE	6/8/23 11:17	R_1F9A3G8ULM4IQWy					35.6096	-88.8143	anonymous	EN	0.800000012	63c5e8422563a1600d959475	9.232	9.232	13.947	1	10.735	10.735	13.489	1	17.774	17.774	19.522	1	0	0	8.335	0																	"south America, Austrqlia"	8.215	8.215	30.115	1	Change	Ground	Lonesome	Ballroom	Lonesome	Thankful	Change	Rambler																	11.479	11.479	13.009	1	0	0	10.588	0	0	0	8.585	0	0	0	10.771	0	"apple, orange, pear, grape,peach"	4.498	28.943	30.112	2	Symphony	Symphony	Dance	Sugar	Dance	Light	Verona	Tales	13.192	13.192	16.914	1	18.401	18.401	20.019	1	15.937	15.937	23.653	1	22.383	22.383	24.162	1																	"lost, luck, happy drink, rumble"	3.442	3.462	30.024	2	Luck	Faith	Luck	Drink	Drink	World	Rumble	Happy	2	4	Batch 1
6/8/23 11:10	6/8/23 11:19	IP Address	107.208.8.13	100	545	TRUE	6/8/23 11:19	R_2qFcV97nA8gBAaF					37.8487	-122.2209	anonymous	EN	1	https://williamscollege.co1.qualtrics.com/jfe/form/SV_3DCQ9ZR3xjVDugS																	0	0	13.103	0	0	0	35.059	0	0	0	19.421	0	0	0	13.459	0	"India, Pakistan, China, Taiwan, Nepal, Bali, Myanmar, United States of America, Canada, Mexico, Brazil, "	1.739	1.739	30.115	1	Change	Ground	Lonesome	Lonesome	Outlaws	Rambler	Pioneers	Thankful	0	0	46.29	0	0	0	12.48	0	0	0	19.528	0	0	0	11.991	0																	"apple, orange, blackberry, blueberry, strawberry, peach, pear, guava, mango, cherry, grapes, "	1.429	17.86	30.012	5	Monroe	Symphony	Dance	Sugar	Light	Light	Derby	Verona	0	0	33.686	0	0	0	16.071	0	0	0	15.035	0	0	0	16.586	0																	"terrier, lab, golden retriever, poodle, chi tzu, "	1.184	17.532	30.128	3	Poem	Rumble	Lost	Luck	Drink	Faith	Happy	World	12	10	Batch 1
6/8/23 11:15	6/8/23 11:23	IP Address	67.171.152.66	100	527	TRUE	6/8/23 11:23	R_2RPSf4P6qdjTcYQ					45.5173	-122.6398	anonymous	EN	1	64010f6d42272367dae2526a																	0	0	8.774	0	0	0	12.237	0	0	0	9.508	0	0	0	8.282	0	"India, china, sweden, norway, finland, germany, france, russia, mexico, canada, USA"	3.328	3.328	30.111	1	Change	Change	Ballroom	Ballroom	Lonesome	Outlaws	Pioneers	Thankful	0	0	13.962	0	0	0	20.04	0	0	0	9.303	0	0	0	9.975	0																	"orange, apple, grape, date, tomato, tomatillo, papaya, banana"	2.576	2.576	30.007	1	Symphony	Monroe	Dance	Sugar	Light	Tales	Symphony	Monroe																	0	0	7.851	0	0	0	7.47	0	2.768	2.768	7.482	1	0	0	7.587	0	"german shepherd, pitbull, shropshire terrier, great dane, "	2.113	26.929	30.107	4	Rumble	Rumble	Lost	Lost	Drink	Happy	Happy	Poem	6	6	Batch 1
