Answer1	Response1																																					
kiss	kiss																																					
cash	cash																																					
automobile	automobile																																					
frog	frog																																					
army	army																																					
infant	infant																																					
factory	factory																																					
bottle	bottle																																					
cattle	cattle																																					
vehicle	vehicle																																					
tobacco	tobacco																																					
alcohol	alcohol																																					
house	house																																					
butcher	butcher																																					
prairie	prairie																																					
timepiece	timepiece																																					
bagpipe	bagpipe																																					
corpse	corpse																																					
animal	animal																																					
ticket	ticket																																					
monk	monk																																					
alcohol	alcohol																																					
army	army																																					
king	king																																					
banker	banker																																					
cradle	cradle																																					
tobacco	tobacco																																					
timepiece	timepiece																																					
ticket	ticket																																					
apple	apple																																					
strawberry	strawberry																																					
factory	factory																																					
piano	piano																																					
acrobat	acrobat																																					
flood	flood																																					
letter	letter																																					
macaroni	macaroni																																					
corpse	corpse																																					
prairie	prairie																																					
insect	insect																																					
kiss	kiss																																					
vehicle	vehicle																																					
candy	candy																																					
house	house																																					
butcher	butcher																																					
automobile	automobile																																					
fisherman	fisherman																																					
piano	piano																																					
king	king																																					
cradle	cradle																																					
army	army																																					
letter	letter																																					
ticket	ticket																																					
flesh	flesh																																					
flood	flood																																					
factory	factory																																					
ship	ship																																					
animal	animal																																					
nursery	nursery																																					
house	house																																					
table	table																																					
insect	insect																																					
infant	infant																																					
kiss	kiss																																					
tobacco	tobacco																																					
cash	cash																																					
strawberry	strawberry																																					
banker	banker																																					
soil	soil																																					
bagpipe	bagpipe																																					
bottle	bottle																																					
building	building																																					
pudding	pudding																																					
jelly	jelly																																					
corpse	corpse																																					
cattle	cattle																																					
acrobat	acrobat																																					
frog	frog																																					
butcher	butcher																																					
fireplace	fireplace																																					
ship	ship																																					
ticket	ticket																																					
automobile	automobile																																					
coffee	coffee																																					
candy	candy																																					
vehicle	vehicle																																					
timepiece	timepiece																																					
infant	infant																																					
corpse	corpse																																					
cattle	cattle																																					
strawberry	strawberry																																					
cord	cord																																					
oats	oats																																					
bottle	bottle																																					
cradle	cradle																																					
factory	factory																																					
table	table																																					
monk	monk																																					
cash	cash																																					
macaroni	macaroni																																					
table	table																																					
vehicle	vehicle																																					
coffee	coffee																																					
kiss	kiss																																					
window	window																																					
corpse	corpse																																					
nursery	nursey																																					
frog	frog																																					
army	army																																					
insect	insect																																					
house	house																																					
animal	animal																																					
prairie	prairie																																					
pudding	pudding																																					
fireplace	fireplace																																					
acrobat	acrobat																																					
cord	cord																																					
building	building																																					
candy	candy																																					
flesh	flesh																																					
jelly	jelly																																					
infant	infant																																					
acrobat	acrobat																																					
animal	animal																																					
table	table																																					
apple	apple																																					
automobile	automobile																																					
factory	factory																																					
building	building																																					
bird	bird																																					
corpse	corpse																																					
fireplace	fireplace																																					
cord	cord																																					
candy	candy																																					
insect	insect																																					
flood	flood																																					
bagpipe	bagpipe																																					
building	building																																					
cradle	cradle																																					
kiss	kiss																																					
vehicle	vehicle																																					
strawberry	strawberry																																					
table	table																																					
king	king																																					
factory	factory																																					
ticket	ticket																																					
army	army																																					
apple	apple																																					
window	window																																					
cattle	cattle																																					
monk	monk																																					
fireplace	fireplace																																					
ship	ship																																					
fisherman	fisherman																																					
flood	flood																																					
boulder	boulder																																					
cash	cash																																					
pudding	pudding																																					
letter	letter																																					
coffee	coffee																																					
nursery	nursery																																					
macaroni	macaroni																																					
frog	frog																																					
oats	oats																																					
flesh																																						
corpse	corpse																																					
boulder	boulder																																					
animal	animal																																					
fisherman	fisherman																																					
fireplace	fireplace																																					
bagpipe	bagpipe																																					
kiss	kiss																																					
timepiece	timepiece																																					
house	house																																					
flood	flood																																					
pudding	pudding																																					
ship	ship																																					
automobile	automobile																																					
vehicle	vehicle																																					
letter	letter																																					
coffee	coffee																																					
acrobat	acrobat																																					
frog	frog																																					
oats	oats																																					
infant	infant																																					
banker	banker																																					
flood	flood																																					
frog	frog																																					
king	king																																					
kiss	kiss																																					
timepiece	timepiece																																					
butcher	butcher																																					
coffee	coffee																																					
factory	factory																																					
fisherman	fisherman																																					
pudding	pudding																																					
apple	apple																																					
cord	cord																																					
boulder	boulder																																					
bottle	bottle																																					
table	table																																					
banker	banker																																					
insect	insect																																					
window	window																																					
cash	cash																																					
strawberry	strawberry																																					
ship	ship																																					
fireplace	fireplace																																					
soil	soil																																					
corpse	corpse																																					
flesh	flesh																																					
building	building																																					
alcohol	alcohol																																					
oats	oats																																					
animal	animal																																					
butcher	butcher																																					
corpse	corpse																																					
cattle	cattle																																					
boulder	boulder																																					
piano	piano																																					
prairie	prairie																																					
strawberry	strawberry																																					
table	table																																					
king	king																																					
kiss	kiss																																					
cash	cash																																					
window	window																																					
fireplace	fireplace																																					
flood	flood																																					
letter	letter																																					
automobile	automobile																																					
bottle	bottle																																					
jelly	jelly																																					
frog	frog																																					
soil	soil																																					
acrobat	acrobat																																					
factory	factory																																					
bird	bird																																					
building	building																																					
house	house																																					
butcher	butcher																																					
boulder	boulder																																					
tobacco	tobacco																																					
factory	factory																																					
candy	candy																																					
flesh	flesh																																					
soil	soil																																					
ticket	ticket																																					
vehicle	vehicle																																					
table	table																																					
cash	cash																																					
flood	flood																																					
bottle	bottle																																					
cradle	cradle																																					
acrobat	acrobat																																					
strawberry	strawberry																																					
cord	cord																																					
building	building																																					
butcher	butcher																																					
fisherman	fisherman																																					
prairie	prairie																																					
factory	factory																																					
boulder	boulder																																					
fireplace	fireplace																																					
apple	apple																																					
animal	animal																																					
king	king																																					
pudding	pudding																																					
kiss	kiss																																					
oats	oats																																					
bird	bird																																					
tobacco	tobacco																																					
insect	insect																																					
ship	ship																																					
nursery	nursery																																					
infant	infant																																					
letter	letter																																					
macaroni	macaroni																																					
window	window																																					
timepiece	timepiece																																					
ticket	ticket																																					
frog	frog																																					
banker	banker																																					
alcohol	alcohol																																					
jelly	jelly																																					
flesh	flesh																																					
boulder	boulder																																					
window	window																																					
macaroni	macaroni																																					
bird	bird																																					
building	building																																					
vehicle	vehicle																																					
automobile	automobile																																					
banker	banker																																					
flood	flood																																					
tobacco	tobacco																																					
factory	factory																																					
animal	animal																																					
cradle	cradle																																					
insect	insect																																					
prairie	prarie																																					
ship	ship																																					
bagpipe	bagpipe																																					
kiss	kiss																																					
piano	piano																																					
strawberry	strawberry																																					
house	house																																					
cattle	cattle																																					
army	army																																					
nursery	nursery																																					
corpse	corpse																																					
acrobat	acrobat																																					
bottle	bottle																																					
table	table																																					
ticket	ticket																																					
fisherman	fisherman																																					
cash	cash																																					
macaroni	macaroni																																					
infant	infant																																					
factory	factory																																					
tobacco	tobacco																																					
animal	animal																																					
window	window																																					
letter	letter																																					
prairie	prairie																																					
strawberry	strawberry																																					
king	king																																					
bird	bird																																					
boulder	boulder																																					
fireplace	fireplace																																					
banker	banker																																					
bagpipe	bagpipe																																					
apple	apple																																					
coffee	coffee																																					
frog	frog																																					
pudding	pudding																																					
ship	ship																																					
building	building																																					
cradle	cradle																																					
monk	monk																																					
kiss	kiss																																					
acrobat	acrobat																																					
flood	flood																																					
soil	soil																																					
ticket	ticket																																					
timepiece	timepiece																																					
cattle	cattle																																					
cash	cash																																					
army	army																																					
automobile	automobile																																					
fisherman	fisherman																																					
piano	piano																																					
king	king																																					
table	table																																					
nursery	nursery																																					
alcohol	alcohol																																					
building	building																																					
animal	animal																																					
ticket	ticket																																					
window	window																																					
flood	flood																																					
coffee	coffee																																					
monk	monk																																					
corpse	corpse																																					
infant	infant																																					
oats	oats																																					
cord	cord																																					
bagpipe	bagpipe																																					
bottle	bottle																																					
fireplace	fireplace																																					
kiss	kiss																																					
prairie	prairie																																					
frog	frog																																					
jelly	jelly																																					
acrobat	acrobat																																					
apple	apple																																					
corpse	corpse																																					
king	king																																					
cattle	cattle																																					
insect	insect																																					
tobacco	tobacco																																					
building	building																																					
factory	factory																																					
banker	banker																																					
macaroni	macaroni																																					
kiss	kiss																																					
oats	car																																					
fisherman	fisherman																																					
fireplace	fireplace																																					
ship	ship																																					
coffee	bean																																					
candy	candy																																					
ship	boat																																					
building	brick																																					
fireplace	fireplace																																					
animal	pet																																					
nursery	nursery																																					
corpse	corpse																																					
king	elvis																																					
butcher	meat																																					
automobile	car																																					
monk	robe																																					
window	sill																																					
flood	flood																																					
timepiece	timepiece																																					
coffee	beans																																					
soil	soil																																					
infant	infant																																					
monk	monk																																					
king	king																																					
factory	factory																																					
candy	candy																																					
bottle	bottle																																					
